ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
"Laptop Lenovo ThinkPad E14 Gen 7 - 21U2003QVN (Ultra 5-226V/ 16GB/ 512GB/ Windows 11 Home SL, English)",Lenovo,Core Ultra 5,16.0,512.0,Onboard,27090000,0,0,0,0
"Laptop Lenovo ThinkBook 14 G8 IAL - 21SJ00EAVN (Ultra 5-135H/ 16GB/ 512GB/ Win 11 Home SL, English)",Lenovo,Core Ultra 5,16.0,512.0,Onboard,23290000,0,0,0,0
Laptop Lenovo V14 G5 IRL - 83HD0035VN (Core 7 240H/ 16GB/ 512GB/ Windows 11 Home SL),Lenovo,Core i7,16.0,512.0,Onboard,22490000,0,0,0,0
Laptop Asus Zenbook 14 UM3406GA-QD073WS (Ryzen AI 7 445/ 32GB/ 1TB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 7,32.0,1024.0,AMD Card Rời,39990000,0,0,0,0
Laptop Asus ExpertBook P1 P1503CVA-C5H16-63WS (Core 5 210H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core i5,16.0,512.0,Onboard,23490000,0,0,0,0
Laptop Asus ExpertBook P1 P1403CVA-C5H16-63WS (Core 5 210H/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Core i5,16.0,512.0,Onboard,23490000,0,0,0,0
Laptop Asus Zenbook 14 UM3406GA-QD075WS (Ryzen AI 7 445/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 7,16.0,512.0,AMD Card Rời,32990000,0,0,0,0
Laptop Asus ExpertBook P5 P5405CSA-NZ0017W (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Home),Asus,Core Ultra 7,32.0,1024.0,Onboard,36990000,0,0,0,0
Laptop Asus Vivobook S14 M3407GA-SF030W (Ryzen AI 7 445/ 16GB/ 512GB/ Windows 11 Home),Asus,Ryzen 7,16.0,512.0,AMD Card Rời,30990000,0,0,0,0
Laptop Acer Nitro ProPanel ANV16-72-782F (Core 7 240H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Windows 11 Home Single Language),Acer,Core i7,16.0,512.0,NVIDIA Card Rời,42990000,0,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-74UM (Core 7 240H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16.0,512.0,NVIDIA Card Rời,36490000,0,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-59RR (Core 5 210H/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i5,16.0,512.0,NVIDIA Card Rời,39990000,0,0,0,0
Laptop Acer Aspire Lite 15 AL15-42P-R8E6 (Ryzen 5 7430U/ 16GB/ 512GB/ Win 11 Home SL + Office + Microsoft),Acer,Ryzen 5,16.0,512.0,AMD Card Rời,16190000,0,0,0,0
Laptop HP 250R G9 - AX3C8AT (i3-1315U/ 8GB/ 512GB/ Windows 11 Home Single Language 64-bit),Hp,Core i3,8.0,512.0,Onboard,15390000,0,0,0,0
Laptop Gigabyte Gaming A16 CMHI2VN894SH (i7-13620H/ GeForce RTX™ 4050/ 16GB/ 1TB/ Windows 11 Home SL),Gigabyte,Core i7,16.0,1024.0,NVIDIA Card Rời,32990000,0,0,0,0
Laptop HP 250 G10 - B73TQAT (i3-1315U/ 8GB/ 512GB/ Windows 11 Home Single Language 64-bit),Hp,Core i3,8.0,512.0,Onboard,15390000,0,0,0,0
Laptop Lenovo Legion Pro 7 16IAX10H - 83F500JGVN (Ultra 9 275HX/ GeForce RTX™ 5070Ti/ 32GB/ 1TB) (FIFA World Cup 26™ Edition),Lenovo,Core Ultra 9,32.0,1024.0,NVIDIA Card Rời,85990000,0,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-73Z8 (Core 7 240H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16.0,512.0,NVIDIA Card Rời,38490000,0,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-50VA (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i5,16.0,512.0,NVIDIA Card Rời,33490000,0,0,0,0
Laptop Acer Aspire Go 15 AG15-72P-54GY (Core 5 120U/ 16GB/ 512GB/ Windows 11),Acer,Core i5,16.0,512.0,Onboard,24990000,0,0,0,0
Laptop Acer Aspire Go 15 AG15-72P-35X9 (i3-1305U/ 8GB/ 256GB/ Windows 11),Acer,Core i3,8.0,256.0,Onboard,12890000,0,0,0,0
Laptop Asus Vivobook 16 X1607CA-MB980W (Ultra 5-225H/ 16GB/ 512GB/ Windows 11 Home SL),Asus,Core Ultra 5,16.0,512.0,Onboard,25990000,0,0,0,0
Laptop Asus Vivobook 15 X1504VA-BQ265W (Core 5 120U/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16.0,512.0,Onboard,22990000,0,0,0,0
Laptop Asus Gaming V16 V3607VJ-RP071W (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16.0,512.0,NVIDIA Card Rời,29990000,0,0,0,0
Laptop Asus Vivobook 14 X1404VA-EB355W (Core 7 150U/ 16GB/ 512GB/ Win 11 Home),Asus,Core i7,16.0,512.0,Onboard,25990000,0,0,0,0
Laptop Dell 15 DC15250-i7U161W11SLU-5 (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office + Microsoft),Dell,Core i7,16.0,1024.0,Onboard,24490000,0,0,0,0
Laptop Asus Vivobook 14 M1405NAQ-LY010W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home),Asus,Ryzen 5,16.0,512.0,AMD Card Rời,20590000,0,0,0,0
Laptop Asus Vivobook 15 M1502NAQ-BQ031W (Ryzen 7 170/ 16GB/ 512GB/ Windows 11 Home),Asus,Ryzen 7,16.0,512.0,AMD Card Rời,21690000,0,0,0,0
Laptop Asus Zenbook S 16 UM5606GA-SS384WS (Ryzen AI 9 465/ 32GB/ 1TB/ Windows 11 Home + Office + Microsoft),Asus,Ryzen 9,32.0,1024.0,AMD Card Rời,52990000,0,0,0,0
Laptop Dell 14 DC14255-YKMXX (Ryzen 5 220/ 16GB/ 512GB/ Win 11 Home + Office),Dell,Ryzen 5,16.0,512.0,AMD Card Rời,18490000,0,0,0,0
Laptop Dell 16 Plus DB16250 - X65NW7 (Ultra 7-256V/ 16GB/ 1TB/ Win 11 Home + Office),Dell,Core Ultra 7,16.0,1024.0,Onboard,35990000,0,0,0,0
Laptop Dell 16 Plus DB16250 - X65NW9 (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home + Office),Dell,Core Ultra 9,32.0,2048.0,Onboard,49990000,0,0,0,0
Laptop Dell 14 DC14255-R7165W11SLU (Ryzen 7 250/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Dell,Ryzen 7,16.0,512.0,AMD Card Rời,22490000,0,0,0,0
Laptop Dell 14 DC14250 - C3U085W11SLU (Core 3 100U/ 8GB/ 512GB/ Win 11 Home + Office + Microsoft),Dell,Core i3,8.0,512.0,Onboard,14790000,0,0,0,0
Laptop Msi Prestige 14 AI+ Evo C2VMG-020VN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Home),Msi,Core Ultra 7,32.0,1024.0,Onboard,35990000,0,0,0,0
Laptop Msi Modern 15 H AI C2HMG-220VN (Ultra 7-255H/ 16GB/ 512GB/ Win 11 Home SL),Msi,Core Ultra 7,16.0,512.0,Onboard,24990000,0,0,0,0
Laptop Msi Modern 15 H C2RMG-287VN (Core 7 240H/ 16GB/ 1TB/ Win 11 Home SL),Msi,Core i7,16.0,1024.0,Onboard,24990000,0,0,0,0
Laptop Asus ROG Strix G16 G614PH-S5101W (Ryzen 9 8940HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Asus,Ryzen 9,16.0,512.0,NVIDIA Card Rời,43990000,0,0,0,0
Laptop Acer Nitro ProPanel AN16S-61-R193 (Ryzen AI 9 365/ GeForce RTX™ 5070/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 9,16.0,512.0,NVIDIA Card Rời,60990000,0,0,0,0
Laptop Acer Aspire 7 A715-59G-78WG (i7-13620H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16.0,512.0,NVIDIA Card Rời,30990000,0,0,0,0
