ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Laptop Lenovo Legion Pro 7 16IAX10H - 83F500JGVN (Ultra 9 275HX/ GeForce RTX™ 5070Ti/ 32GB/ 1TB) (FIFA World Cup 26™ Edition),Lenovo,Core Ultra 9,32,1024,NVIDIA Card Rời,85990000
Laptop Acer Nitro ProPanel ANV15-52-73Z8 (Core 7 240H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16,512,NVIDIA Card Rời,38490000
Laptop Acer Nitro ProPanel ANV15-52-50VA (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i5,16,512,NVIDIA Card Rời,33490000
Laptop Acer Aspire Go 15 AG15-72P-54GY (Core 5 120U/ 16GB/ 512GB/ Windows 11),Acer,Core i5,16,512,Onboard,24990000
Laptop Acer Aspire Go 15 AG15-72P-35X9 (i3-1305U/ 8GB/ 256GB/ Windows 11),Acer,Core i3,8,256,Onboard,12890000
Laptop Asus Vivobook 16 X1607CA-MB980W (Ultra 5-225H/ 16GB/ 512GB/ Windows 11 Home SL),Asus,Core Ultra 5,16,512,Onboard,25990000
Laptop Asus Vivobook 15 X1504VA-BQ265W (Core 5 120U/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16,512,Onboard,22990000
Laptop Asus Gaming V16 V3607VJ-RP071W (Core 5 210H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home),Asus,Core i5,16,512,NVIDIA Card Rời,29990000
Laptop Asus Vivobook 14 X1404VA-EB355W (Core 7 150U/ 16GB/ 512GB/ Win 11 Home),Asus,Core i7,16,512,Onboard,25990000
Laptop Dell 15 DC15250-i7U161W11SLU-5 (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office + Microsoft),Dell,Core i7,16,1024,Onboard,24490000
Laptop Asus Vivobook 14 M1405NAQ-LY010W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home),Asus,Ryzen 5,16,512,AMD Card Rời,20590000
Laptop Asus Vivobook 15 M1502NAQ-BQ031W (Ryzen 7 170/ 16GB/ 512GB/ Windows 11 Home),Asus,Ryzen 7,16,512,AMD Card Rời,21690000
Laptop Asus Zenbook S 16 UM5606GA-SS384WS (Ryzen AI 9 465/ 32GB/ 1TB/ Windows 11 Home + Office + Microsoft),Asus,Ryzen 9,32,1024,AMD Card Rời,52990000
Laptop Dell 14 DC14255-YKMXX (Ryzen 5 220/ 16GB/ 512GB/ Win 11 Home + Office),Dell,Ryzen 5,16,512,AMD Card Rời,18490000
Laptop Dell 16 Plus DB16250 - X65NW7 (Ultra 7-256V/ 16GB/ 1TB/ Win 11 Home + Office),Dell,Core Ultra 7,16,1024,Onboard,35990000
Laptop Dell 16 Plus DB16250 - X65NW9 (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home + Office),Dell,Core Ultra 9,32,2048,Onboard,49990000
Laptop Dell 14 DC14255-R7165W11SLU (Ryzen 7 250/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft),Dell,Ryzen 7,16,512,AMD Card Rời,22490000
Laptop Dell 14 DC14250 - C3U085W11SLU (Core 3 100U/ 8GB/ 512GB/ Win 11 Home + Office + Microsoft),Dell,Core i3,8,512,Onboard,14790000
Laptop Msi Prestige 14 AI+ Evo C2VMG-020VN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Home),Msi,Core Ultra 7,32,1024,Onboard,35990000
Laptop Msi Modern 15 H AI C2HMG-220VN (Ultra 7-255H/ 16GB/ 512GB/ Win 11 Home SL),Msi,Core Ultra 7,16,512,Onboard,24990000
Laptop Msi Modern 15 H C2RMG-287VN (Core 7 240H/ 16GB/ 1TB/ Win 11 Home SL),Msi,Core i7,16,1024,Onboard,24990000
Laptop Asus ROG Strix G16 G614PH-S5101W (Ryzen 9 8940HX/ GeForce RTX™ 5050/ 16GB/ 512GB/ Win 11 Home),Asus,Ryzen 9,16,512,NVIDIA Card Rời,43990000
Laptop Acer Nitro ProPanel AN16S-61-R193 (Ryzen AI 9 365/ GeForce RTX™ 5070/ 16GB/ 512GB/ Win 11 Home SL),Acer,Ryzen 9,16,512,NVIDIA Card Rời,60990000
Laptop Acer Aspire 7 A715-59G-78WG (i7-13620H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16,512,NVIDIA Card Rời,30990000
Laptop Acer Aspire 7 A715-59G-55MD (i5-13420H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i5,16,512,NVIDIA Card Rời,28990000
Laptop Lenovo LOQ 15ARP10E - 83S0006QVN (Ryzen 7 7735HS/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16,512,NVIDIA Card Rời,29490000
Laptop Dell 14 DC14250 DC4C5386W (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i5,16,512,Onboard,19690000
Laptop Asus TUF Gaming F16 FX608JH-RV131W (i5-13450HX/ GeForce RTX™ 5050/ 32GB/ 512GB/ Win 11 Home),Asus,Core i5,32,512,NVIDIA Card Rời,32990000
Laptop Asus ROG Zephyrus G14 GA403WW-QS145WS (Ryzen AI 9 HX 370/ GeForce RTX™ 5080/ 32GB/ 2TB/ Win 11 Home + Office + Microsoft),Asus,Ryzen 9,32,2048,NVIDIA Card Rời,84990000
Laptop Lenovo LOQ 15ARP10E - 83S0004FVN (Ryzen 7 7735HS/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16,512,NVIDIA Card Rời,28990000
Laptop Acer Nitro Lite 16 NL16-71G-71FN (i7-13620H/ GeForce RTX™ 4050/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core i7,16,512,NVIDIA Card Rời,33990000
Laptop Acer Swift Edge 14 AI SFE14-51T-52KD (Ultra 5-228V/ 32GB/ 512GB/ Win 11 Home SL),Acer,Core Ultra 5,32,512,Onboard,42990000
Laptop Lenovo Ideapad Slim 5 14AKP10 - 83HX00ABVN (Ryzen AI 5 330/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 5,16,512,AMD Card Rời,23490000
Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700EWVN (Ryzen 7 7735HS/ 16GB/ 512GB/ Win 11 Home SL),Lenovo,Ryzen 7,16,512,AMD Card Rời,21490000
